open_time,okx_close
1772733000000,70796.3
1772733300000,70675.2
1772733600000,70820.6
1772733900000,70926.3
1772734200000,70994.1
1772734500000,70857.6
1772734800000,70821.4
1772735100000,70787.5
1772735400000,70943.9
1772735700000,70868.4
1772736000000,70912.1
1772736300000,70899.9
1772736600000,70833.5
1772736900000,70959.7
1772737200000,71121.5
1772737500000,71241.1
1772737800000,71330.7
1772738100000,71280.0
1772738400000,71201.6
1772738700000,71073.2
1772739000000,71000.1
1772739300000,70981.0
1772739600000,70979.7
1772739900000,71031.9
1772740200000,70900.1
1772740500000,70885.2
1772740800000,71039.7
1772741100000,71016.2
1772741400000,71063.4
1772741700000,71170.7
1772742000000,71274.3
1772742300000,71149.9
1772742600000,71269.1
1772742900000,71170.2
1772743200000,71125.2
1772743500000,71150.1
1772743800000,71142.8
1772744100000,71200.1
1772744400000,71295.8
1772744700000,71300.0
1772745000000,71266.1
1772745300000,71430.4
1772745600000,71443.0
1772745900000,71477.3
1772746200000,71380.1
1772746500000,71103.6
1772746800000,71158.1
1772747100000,71285.3
1772747400000,70993.0
1772747700000,71100.7
1772748000000,71080.8
1772748300000,71096.0
1772748600000,71132.8
1772748900000,71230.4
1772749200000,71250.0
1772749500000,71124.8
1772749800000,71158.0
1772750100000,71137.9
1772750400000,71240.0
1772750700000,71199.2
1772751000000,71196.7
1772751300000,71171.6
1772751600000,71168.4
1772751900000,71199.6
1772752200000,71164.6
1772752500000,71178.6
1772752800000,71159.5
1772753100000,71185.2
1772753400000,70856.6
1772753700000,70950.0
1772754000000,70886.4
1772754300000,70820.6
1772754600000,70821.0
1772754900000,70851.8
1772755200000,70868.4
1772755500000,70858.3
1772755800000,70987.1
1772756100000,70971.6
1772756400000,71003.9
1772756700000,70887.9
1772757000000,70915.1
1772757300000,70905.1
1772757600000,70873.3
1772757900000,70898.0
1772758200000,70932.0
1772758500000,70958.9
1772758800000,70875.9
1772759100000,70866.8
1772759400000,70769.8
1772759700000,70824.9
1772760000000,70801.1
1772760300000,70433.4
1772760600000,70825.2
1772760900000,70961.7
1772761200000,71128.8
1772761500000,71128.2
1772761800000,71160.0
1772762100000,71218.2
1772762400000,71170.0
1772762700000,71230.1
1772763000000,71288.3
1772763300000,71130.3
1772763600000,71165.0
1772763900000,71305.3
1772764200000,71152.7
1772764500000,71207.5
1772764800000,71309.9
1772765100000,71284.8
1772765400000,71176.4
1772765700000,71215.0
1772766000000,71215.3
1772766300000,71212.6
1772766600000,71041.4
1772766900000,71037.6
1772767200000,71164.0
1772767500000,71143.7
1772767800000,71112.6
1772768100000,71079.7
1772768400000,71061.5
1772768700000,71052.8
1772769000000,71041.8
1772769300000,71049.6
1772769600000,71042.5
1772769900000,70957.7
1772770200000,70886.0
1772770500000,70906.1
1772770800000,70950.8
1772771100000,70850.1
1772771400000,70882.9
1772771700000,70696.1
1772772000000,70496.9
1772772300000,70522.0
1772772600000,70485.7
1772772900000,70586.3
1772773200000,70600.1
1772773500000,70480.0
1772773800000,70512.9
1772774100000,70569.8
1772774400000,70395.0
1772774700000,70370.8
1772775000000,70281.7
1772775300000,70273.0
1772775600000,70178.2
1772775900000,70130.7
1772776200000,70334.1
1772776500000,70405.9
1772776800000,70410.6
1772777100000,70305.7
1772777400000,70283.4
1772777700000,70366.6
1772778000000,70489.2
1772778300000,70390.3
1772778600000,70366.6
1772778900000,70490.2
1772779200000,70628.3
1772779500000,70709.7
1772779800000,70560.0
1772780100000,70570.6
1772780400000,70742.0
1772780700000,70621.1
1772781000000,70524.4
1772781300000,70625.0
1772781600000,70716.9
1772781900000,70832.2
1772782200000,70929.2
1772782500000,70856.7
1772782800000,71043.0
1772783100000,71084.4
1772783400000,71087.4
1772783700000,71025.8
1772784000000,70926.6
1772784300000,70903.8
1772784600000,70902.6
1772784900000,70943.1
1772785200000,70870.3
1772785500000,70905.1
1772785800000,70900.2
1772786100000,70882.2
1772786400000,70882.6
1772786700000,70876.9
1772787000000,70792.9
1772787300000,70755.6
1772787600000,70750.3
1772787900000,70637.0
1772788200000,70542.0
1772788500000,70553.1
1772788800000,70426.7
1772789100000,70380.0
1772789400000,70298.7
1772789700000,70326.6
1772790000000,70516.1
1772790300000,70445.2
1772790600000,70458.1
1772790900000,70529.0
1772791200000,70615.9
1772791500000,70640.1
1772791800000,70650.7
1772792100000,70624.9
1772792400000,70737.3
1772792700000,70746.6
1772793000000,70572.5
1772793300000,70514.5
1772793600000,70535.5
1772793900000,70506.8
1772794200000,70500.2
1772794500000,70500.4
1772794800000,70424.6
1772795100000,70424.7
1772795400000,70531.7
1772795700000,70500.8
1772796000000,70503.2
1772796300000,70526.1
1772796600000,70453.8
1772796900000,70566.6
1772797200000,70357.4
1772797500000,70276.5
1772797800000,70230.1
1772798100000,70185.2
1772798400000,70133.0
1772798700000,69799.7
1772799000000,69900.4
1772799300000,70162.9
1772799600000,70076.1
1772799900000,69975.6
1772800200000,69854.1
1772800500000,69744.3
1772800800000,69726.8
1772801100000,69745.0
1772801400000,69883.6
1772801700000,69895.2
1772802000000,69905.6
1772802300000,69945.2
1772802600000,69968.5
1772802900000,69996.0
1772803200000,70009.4
1772803500000,70035.9
1772803800000,70153.4
1772804100000,70065.2
1772804400000,70053.8
1772804700000,69940.6
1772805000000,69930.0
1772805300000,69196.0
1772805600000,69141.3
1772805900000,68611.7
1772806200000,68786.6
1772806500000,68944.3
1772806800000,68957.7
1772807100000,68946.1
1772807400000,68810.8
1772807700000,68606.5
1772808000000,68704.0
1772808300000,68382.6
1772808600000,68316.5
1772808900000,68373.5
1772809200000,68550.0
1772809500000,68289.6
1772809800000,68594.5
1772810100000,68741.0
1772810400000,68914.7
1772810700000,68840.1
1772811000000,68792.4
1772811300000,68892.3
1772811600000,68709.0
1772811900000,68551.7
1772812200000,68371.1
1772812500000,68452.5
1772812800000,68738.1
1772813100000,68348.2
1772813400000,68299.1
1772813700000,68333.4
1772814000000,68368.0
1772814300000,68504.4
1772814600000,68370.4
1772814900000,68626.1
1772815200000,68554.2
1772815500000,68550.1
1772815800000,68325.7
1772816100000,68413.2
1772816400000,68544.7
1772816700000,68520.6
1772817000000,68362.8
1772817300000,68426.6
1772817600000,68353.1
1772817900000,68210.8
1772818200000,68119.7
1772818500000,67817.5
1772818800000,67799.7
1772819100000,67948.1
1772819400000,67900.1
1772819700000,67920.9
1772820000000,68066.8
1772820300000,68173.5
1772820600000,68290.7
1772820900000,68329.8
1772821200000,68338.3
1772821500000,68245.7
1772821800000,68395.3
1772822100000,68369.8
1772822400000,68401.1
1772822700000,68360.2
1772823000000,68199.0
1772823300000,68144.6
1772823600000,68224.2
1772823900000,68236.9
1772824200000,68402.1
1772824500000,68437.4
1772824800000,68183.3
1772825100000,68180.4
1772825400000,68159.6
1772825700000,68134.5
1772826000000,68107.8
1772826300000,68050.9
1772826600000,68024.9
1772826900000,68091.2
1772827200000,68155.7
1772827500000,68139.3
1772827800000,67981.2
1772828100000,68029.5
1772828400000,68000.1
1772828700000,67803.6
1772829000000,67780.1
1772829300000,67865.7
1772829600000,67955.0
1772829900000,68064.8
1772830200000,68085.7
1772830500000,68079.3
1772830800000,68126.1
1772831100000,68132.0
1772831400000,68118.0
1772831700000,68106.0
1772832000000,67944.3
1772832300000,67972.6
1772832600000,67983.6
1772832900000,68105.7
1772833200000,68200.2
1772833500000,68251.0
1772833800000,68207.3
1772834100000,68259.6
1772834400000,68305.7
1772834700000,68280.6
1772835000000,68255.9
1772835300000,68305.3
1772835600000,68276.2
1772835900000,68257.0
1772836200000,68239.9
1772836500000,68271.9
1772836800000,68333.2
1772837100000,68382.2
1772837400000,68394.3
1772837700000,68296.9
1772838000000,68293.3
1772838300000,68290.5
1772838600000,68292.6
1772838900000,68318.1
1772839200000,68300.9
1772839500000,68315.1
1772839800000,68299.5
1772840100000,68200.7
1772840400000,68204.3
1772840700000,68180.2
1772841000000,68099.9
1772841300000,68076.9
1772841600000,68093.9
1772841900000,68189.5
1772842200000,68177.0
1772842500000,68198.9
1772842800000,68181.3
1772843100000,68176.2
1772843400000,68273.6
1772843700000,68251.4
1772844000000,68256.2
1772844300000,68282.3
1772844600000,68319.9
1772844900000,68250.1
1772845200000,68304.2
1772845500000,68290.2
1772845800000,68199.9
1772846100000,68215.2
1772846400000,68170.0
1772846700000,68192.8
1772847000000,68175.0
1772847300000,68216.3
1772847600000,68248.0
1772847900000,68260.0
1772848200000,68286.6
1772848500000,68225.2
1772848800000,68224.5
1772849100000,68249.9
1772849400000,68206.8
1772849700000,68190.0
1772850000000,68104.4
1772850300000,68068.4
1772850600000,68087.1
1772850900000,68110.5
1772851200000,68128.9
1772851500000,68173.0
1772851800000,68187.3
1772852100000,68310.9
1772852400000,68331.0
1772852700000,68360.0
1772853000000,68483.4
1772853300000,68309.0
1772853600000,68267.5
1772853900000,68202.6
1772854200000,68190.1
1772854500000,68159.4
1772854800000,68147.3
1772855100000,68150.1
1772855400000,68090.2
1772855700000,68069.5
1772856000000,67874.1
1772856300000,67859.9
1772856600000,67920.0
1772856900000,67994.4
1772857200000,68017.9
1772857500000,67993.2
1772857800000,67953.9
1772858100000,68087.4
1772858400000,68105.4
1772858700000,68071.2
1772859000000,68047.4
1772859300000,68031.5
1772859600000,68080.0
1772859900000,68074.8
1772860200000,67979.9
1772860500000,67908.9
1772860800000,67940.7
1772861100000,67990.0
1772861400000,67927.6
1772861700000,68019.7
1772862000000,68056.0
1772862300000,68026.3
1772862600000,68036.9
1772862900000,67989.5
1772863200000,67972.9
1772863500000,67936.8
1772863800000,67922.9
1772864100000,67900.1
1772864400000,67888.0
1772864700000,67832.2
1772865000000,67814.5
1772865300000,67820.0
1772865600000,67900.3
1772865900000,67860.7
1772866200000,67655.8
1772866500000,67658.8
1772866800000,67526.3
1772867100000,67433.6
1772867400000,67597.6
1772867700000,67591.9
1772868000000,67679.9
1772868300000,67689.9
1772868600000,67713.1
1772868900000,67653.1
1772869200000,67759.3
1772869500000,67748.0
1772869800000,67782.7
1772870100000,67808.0
1772870400000,67766.1
1772870700000,67774.8
1772871000000,67837.6
1772871300000,67900.1
1772871600000,67944.8
1772871900000,67911.4
1772872200000,67893.7
1772872500000,67877.1
1772872800000,67863.3
1772873100000,67879.9
1772873400000,67844.5
1772873700000,67761.0
1772874000000,67754.9
1772874300000,67808.7
1772874600000,67949.1
1772874900000,67916.1
1772875200000,67914.9
1772875500000,67928.0
1772875800000,67950.9
1772876100000,67966.1
1772876400000,67929.9
1772876700000,67962.9
1772877000000,67950.0
1772877300000,67960.6
1772877600000,68020.0
1772877900000,68016.7
1772878200000,68050.9
1772878500000,67960.4
1772878800000,67905.1
1772879100000,67940.7
1772879400000,67890.2
1772879700000,67950.1
1772880000000,67915.3
1772880300000,67935.3
1772880600000,67878.6
1772880900000,67847.2
1772881200000,67842.0
1772881500000,67850.5
1772881800000,68157.9
1772882100000,68148.0
1772882400000,68084.9
1772882700000,68121.3
1772883000000,68076.0
1772883300000,68092.1
1772883600000,68100.0
1772883900000,68024.1
1772884200000,68016.8
1772884500000,67973.2
1772884800000,68043.0
1772885100000,67955.9
1772885400000,67964.9
1772885700000,67991.0
1772886000000,68007.6
1772886300000,67987.0
1772886600000,67994.2
1772886900000,67965.5
1772887200000,67899.6
1772887500000,67899.9
1772887800000,67983.2
1772888100000,67956.6
1772888400000,68028.4
1772888700000,67974.7
1772889000000,68003.4
1772889300000,67939.0
1772889600000,67974.2
1772889900000,67958.4
1772890200000,67931.2
1772890500000,67857.1
1772890800000,67850.7
1772891100000,67887.8
1772891400000,67905.8
1772891700000,67898.0
1772892000000,67818.6
1772892300000,67665.3
1772892600000,67717.1
1772892900000,67747.6
1772893200000,67761.0
1772893500000,67776.1
1772893800000,67782.9
1772894100000,68034.0
1772894400000,67976.7
1772894700000,68010.1
1772895000000,68009.0
1772895300000,67985.9
1772895600000,67969.2
1772895900000,67970.1
1772896200000,67898.2
1772896500000,67887.1
1772896800000,67927.0
1772897100000,67927.5
1772897400000,67966.6
1772897700000,67794.1
1772898000000,67793.8
1772898300000,67809.7
1772898600000,67869.3
1772898900000,67851.1
1772899200000,67808.1
1772899500000,67838.3
