open_time,open,high,low,close,volume
1776826800000,77604.7,77733.11,77397.88,77521.48,956.6528
1776830400000,77521.47,77700.0,77364.25,77523.0,547.1578
1776834000000,77523.01,78452.18,77450.0,77994.93,2386.48879
1776837600000,77994.92,78042.84,77900.0,78010.72,576.88586
1776841200000,78010.73,78111.0,77825.0,78012.79,880.5264
1776844800000,78012.78,78219.41,77941.59,78010.92,987.44812
1776848400000,78010.92,78184.7,77956.76,78001.95,415.39605
1776852000000,78001.96,78180.0,77951.17,78157.41,352.72131
1776855600000,78157.41,78399.0,78102.0,78300.0,560.88264
1776859200000,78300.0,78508.18,78114.04,78236.05,952.94008
1776862800000,78236.05,78850.0,78162.64,78840.94,1253.18724
1776866400000,78840.94,79174.68,78577.86,79045.75,1847.69509
1776870000000,79045.75,79400.0,78837.66,79272.9,1412.004
1776873600000,79272.91,79472.82,78632.37,78743.59,1010.97362
1776877200000,78743.6,79034.73,78705.71,78900.0,502.31388
1776880800000,78900.01,79163.66,78828.76,79022.39,322.94022
1776884400000,79022.4,79067.6,78706.81,78846.62,557.30668
1776888000000,78846.62,78915.84,78410.0,78436.68,436.66543
1776891600000,78436.69,78821.86,78425.0,78762.69,299.34545
1776895200000,78762.68,78824.0,78456.15,78607.95,294.6414
1776898800000,78607.95,78607.95,78155.83,78178.23,712.06893
1776902400000,78178.22,78574.44,77582.17,78424.29,1778.58027
1776906000000,78424.3,78472.95,78057.5,78359.23,586.8685
1776909600000,78359.71,78359.72,77761.2,77939.92,508.32327
1776913200000,77939.91,78025.99,77453.43,77746.46,609.2036
1776916800000,77746.47,77949.09,77675.8,77920.09,305.0499
1776920400000,77920.09,78110.01,77750.0,78033.87,680.89298
1776924000000,78034.0,78339.35,78034.0,78211.43,433.12959
1776927600000,78211.43,78248.39,77981.88,78048.62,292.35484
1776931200000,78048.61,78175.52,77714.86,77858.35,1135.26875
1776934800000,77858.34,77860.8,77440.85,77655.34,772.05261
1776938400000,77655.35,77709.16,77174.01,77403.63,1129.48909
1776942000000,77403.63,77757.31,77365.57,77704.62,525.42671
1776945600000,77704.61,77870.54,77491.18,77870.53,636.21566
1776949200000,77870.54,77904.37,77379.92,77532.23,592.70115
1776952800000,77532.23,78201.53,77414.0,78180.77,926.52082
1776956400000,78180.78,78662.5,77983.25,78376.76,1008.45262
1776960000000,78376.77,78509.82,78030.0,78103.72,661.93618
1776963600000,78103.72,78184.85,76960.0,77769.21,1724.53866
1776967200000,77769.2,78146.75,77678.65,77678.65,731.06838
1776970800000,77678.65,77886.88,77592.92,77727.26,830.20485
1776974400000,77727.25,78050.0,77637.5,77886.97,391.74493
1776978000000,77886.97,78070.0,77800.0,77864.83,211.37751
1776981600000,77864.84,78331.0,77864.83,78235.3,271.3302
1776985200000,78235.29,78298.01,78030.0,78257.48,228.06394
1776988800000,78257.48,78490.83,78172.01,78417.22,451.37457
1776992400000,78417.22,78450.0,77952.16,78429.73,533.84795
1776996000000,78429.73,78581.93,78067.17,78125.65,425.56297
1776999600000,78125.65,78178.4,77555.0,77737.85,639.95986
1777003200000,77737.84,77854.57,77482.49,77670.0,605.14416
1777006800000,77670.01,78057.65,77457.0,77953.48,423.6718
1777010400000,77953.48,77979.54,77761.2,77789.75,280.75336
1777014000000,77789.75,77855.67,77543.52,77644.6,696.90666
1777017600000,77644.59,78000.0,77550.73,77785.71,731.67499
1777021200000,77785.7,77804.23,77402.01,77527.69,621.09775
1777024800000,77527.7,77784.0,77444.95,77752.36,379.99202
1777028400000,77752.37,78372.58,77752.37,78240.26,1186.36064
1777032000000,78240.27,78345.15,78016.51,78275.66,579.40035
1777035600000,78275.65,78479.37,77913.27,78093.79,852.96848
1777039200000,78093.8,78093.8,77681.74,78037.64,755.72516
