open_time,open,high,low,close,volume
1780124340000,73588.68,73588.68,73584.99,73584.99,8.50469
1780124400000,73584.99,73588.2,73584.98,73588.2,6.68436
1780124460000,73588.19,73588.2,73577.39,73577.4,13.96493
1780124520000,73577.39,73577.4,73550.0,73550.0,4.13908
1780124580000,73550.01,73550.01,73546.64,73546.65,8.30261
1780124640000,73546.64,73546.65,73536.17,73536.18,5.0031
1780124700000,73536.17,73536.18,73536.17,73536.18,1.91918
1780124760000,73536.17,73536.18,73536.17,73536.17,1.0204
1780124820000,73536.18,73537.34,73536.17,73537.33,1.12768
1780124880000,73537.34,73538.36,73537.33,73538.35,2.54936
1780124940000,73538.35,73549.63,73537.33,73537.34,7.70984
1780125000000,73537.33,73537.34,73537.33,73537.33,0.99869
1780125060000,73537.33,73560.0,73537.33,73559.98,2.03264
1780125120000,73559.98,73559.98,73541.12,73541.12,2.06958
1780125180000,73541.12,73545.66,73541.12,73545.65,1.15606
1780125240000,73545.65,73547.12,73533.67,73533.68,11.95798
1780125300000,73533.68,73557.99,73533.67,73544.69,14.05082
1780125360000,73544.7,73555.88,73544.69,73555.87,8.38877
1780125420000,73555.88,73555.88,73554.0,73554.01,5.91869
1780125480000,73554.0,73559.4,73554.0,73559.39,2.715
1780125540000,73559.4,73559.4,73537.02,73537.02,15.68039
1780125600000,73537.03,73537.03,73537.02,73537.02,3.49072
1780125660000,73537.02,73543.72,73535.74,73535.75,2.73221
1780125720000,73535.75,73538.16,73532.0,73538.15,2.36109
1780125780000,73538.15,73549.72,73538.15,73549.72,1.08207
1780125840000,73549.72,73549.72,73549.71,73549.71,0.91746
1780125900000,73549.71,73560.0,73549.71,73560.0,0.71283
1780125960000,73560.0,73574.56,73559.99,73574.56,1.69807
1780126020000,73574.55,73574.56,73571.1,73571.12,1.93402
1780126080000,73571.11,73574.17,73566.22,73566.22,5.68033
1780126140000,73566.22,73566.23,73563.19,73563.19,0.7882
1780126200000,73563.2,73563.2,73558.01,73558.01,4.72015
1780126260000,73558.01,73558.01,73557.99,73558.0,1.43452
1780126320000,73558.0,73558.0,73557.99,73558.0,0.68873
1780126380000,73558.0,73576.16,73558.0,73576.16,2.77311
1780126440000,73576.15,73576.16,73572.13,73572.14,2.36034
1780126500000,73572.14,73572.14,73533.98,73533.99,4.11799
1780126560000,73533.99,73533.99,73500.0,73500.01,3.69909
1780126620000,73500.0,73500.01,73492.48,73492.49,4.42661
1780126680000,73492.49,73503.68,73492.48,73493.24,2.73666
1780126740000,73493.23,73496.0,73493.23,73496.0,0.96502
1780126800000,73495.99,73512.01,73494.0,73512.0,2.32495
